Bill of Materials for Project [Sensor Hub Rev C]
Project:,Sensor Hub
Revision:,C
Date:,2026-02-11
Approved by:,K. Jha

Designator,Comment,Description,Footprint,Manufacturer,Manufacturer Part Number,Quantity,Supplier,Supplier Part Number,Unit Price
"R1, R2, R3, R4",10k,RES SMD 10K OHM 1% 1/10W 0603,0603,Yageo,RC0603FR-0710KL,4,DigiKey,311-10.0KHRCT-ND,0.0032
R5-R8,100R,RES SMD 100 OHM 1% 1/10W 0603,0603,Vishay,CRCW0603100RFKEA,4,DigiKey,541-100HCT-ND,0.0104
C1..C6,100nF,CAP CER 0.1UF 16V X7R 0603,0603,Murata Electronics,GRM188R71C104KA01D,6,Mouser,81-GRM188R71C104KA1D,0.0182
"C7, C8",10uF,CAP CER 10UF 25V X5R 0805,0805,Murata Electronics,GRM21BR61E106KA73L,2,Mouser,81-GRM21BR61E106KA3L,0.094
U1,LM358,IC OPAMP GP 2 CIRCUIT SOIC-8,SOIC-8,Texas Instruments,LM358DR,1,DigiKey,296-1013-1-ND,0.29
U2,MAX3232,IC TRANSCEIVER RS232 2/2 DIP-16,DIP-16,Analog Devices,MAX3232ECPE+,1,DigiKey,MAX3232ECPE+-ND,3.90
U3,MPU-6050,SENSOR 6-AXIS IMU I2C QFN-24,QFN-24,TDK InvenSense,MPU-6050,1,,,3.20
U4,STM32F103,IC MCU 32BIT 64KB FLASH LQFP-48,LQFP-48,STMicroelectronics,STM32F103C8T6,1,Mouser,511-STM32F103C8T6,2.45
Y1,8MHz,CRYSTAL 8.0000MHZ 18PF SMD,3225,Abracon,ABM8-8.000MHZ-B2-T,1,DigiKey,535-9861-1-ND,0.48
"D1, D2",BAT54S,DIODE SCHOTTKY 30V 200MA SOT-23,SOT-23,Nexperia,BAT54S,2,DigiKey,1727-3524-1-ND,0.067
Q1,AO3400A,MOSFET N-CH 30V 5.7A SOT-23,SOT-23,Alpha & Omega,AO3400A,1,LCSC,C20917,0.098
J1,Header 4,CONN HEADER VERT 4POS 2.54MM,THT,Wurth Elektronik,61300411121,1,DigiKey,732-5316-ND,0.25
F1,2A,FUSE BOARD MOUNT 2A 125V 1206,1206,Littelfuse,0451002.MRL,1,DigiKey,F2597CT-ND,0.32
"MH1, MH2, MH3, MH4",MOUNTING HOLE,Mounting hole 3.2mm,,,,4,,,
,,,,,,,,,
Total parts:,29
