ACME Electronics -- Power Board BOM
rev,B2,,date,03/02/2026

Sl. No.,Qty,Part No,Make,Details,Location,Fit?,Rate (EUR),Remarks
--- PASSIVES ---
1,4,RC0603FR-0710KL,YAGEO,10K 1% 0603,R1;R2;R3;R4,Y,"0,0032",
2,2,GRM188R71C104KA01D,murata,100nF 16V X7R,C1/C2,Y,"0,0182",
3,2,GRM188R71C104KA01D,Murata Mfg,100nF 16V X7R,C3 C4,Y,"0,0182",same as line 2
4,1,TAJB106K016RNJ,AVX,10uF 16V tant 1210,C5,Y,"0,43",check lifecycle
--- SEMICONDUCTORS ---
5,1,LM7805CT,ON Semi,5V 1A regulator TO-220,U1,Y,"0,58",
6,1,1N4148W-7-F,Diodes Inc,switching diode SOD-123,D1,Y,"0,029",
7,2,SS34,ON Semiconductor,schottky 40V 3A,"D2,D3",Y,"0,15",
8,1,IRLML6244TRPBF,Infineon,N-MOSFET 20V SOT-23,Q1,Y,"0,44",
--- HARDWARE ---
9,1,1725656,Phoenix Contact,terminal block 2pos,J1,Y,"1,10",
10,2,TL3342F160QG,E-Switch,tactile switch,"SW1,SW2",N,"0,13",not fitted on rev B2
11,1,G5LE-14-DC12,Omron,relay SPDT 10A 12V,K1,Y,"1,68",
12,1,,,heatsink -- see drawing,HS1,Y,,mechanical

Prepared by: A. Engineer,,Checked: QA
